drug_id,drug_name,condition,reason,source
drug_002899,Zumandimine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002899,Zumandimine,pregnancy,Pregnancy category X,drugs_com
drug_002900,Zyfrel,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002902,Zypitamag,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002902,Zypitamag,pregnancy,Pregnancy category X,drugs_com
drug_002903,Zyprexa,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002904,Zyprexa Intramuscular,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002905,Zyprexa Relprevv,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002906,Zyprexa Zydis,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002907,Zyrtec,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002908,Zyrtec D,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002909,Zyrtec D 12 Hour,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_002911,Zzzquil,concurrent alcohol use,Alcohol interaction flag,drugs_com
